url,zona,tipo_zona,keyword,telefono,whatsapp_link,nombre,fecha_extraccion,email
https://www.juntadeandalucia.es/organismos/saludyconsumo/areas/seguridad-alimentaria/tramites-seguridad-alimentaria/paginas/registro-sanitario-alimentos.html,Andalucía,comunidad,herbolario,+34955006300,https://wa.me/34955006300?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Registro Sanitario de Empresas y Establecimientos Alimentarios - Junta de Andalucía,2025-02-27 15:21:43,
https://www.herbolarionavarro.es/tiendas,Andalucía,comunidad,herbolario,,,www.herbolarionavarro.es,2025-02-27 15:21:48,
https://www.herbolariosdimam.es/,Andalucía,comunidad,herbolario,+34661777944,https://wa.me/34661777944?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Herbolarios Dimam Online,2025-02-27 15:21:54,info@herbolariosdimam.es
https://caae.es/,Andalucía,comunidad,herbolario,,,CAAE,2025-02-27 15:22:04,
https://www.bidafarma.es/,Andalucía,comunidad,herbolario,,,Inicio - Inicio - BIDAFARMA,2025-02-27 15:22:09,malaga@bidafarma.es
https://juntadeandalucia.es/export/drupaljda/190801_Guia_puntos_venta.pdf,Andalucía,comunidad,herboristería,+34740720681,https://wa.me/34740720681?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,juntadeandalucia.es,2025-02-27 15:22:25,i@c8.m
https://alergiayasma.es/proteccion-para-personas-alergicas-tambien-frente-a-productos-de-herboristeria/,Andalucía,comunidad,herboristería,,,Protección para personas alérgicas: también frente a productos de herboristería.,2025-02-27 15:22:37,
https://www.herbolarionavarro.es/,Málaga,ciudad,herbolario,,,www.herbolarionavarro.es,2025-02-27 15:22:56,
https://www.althaea.es/contacto/,Málaga,ciudad,herbolario,+34963498814,https://wa.me/34963498814?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Contacto - Althaea Herbolario y Terapias Naturales,2025-02-27 15:23:05,info@althaea.es
https://empresite.eleconomista.es/HERBOLARIO-ACEBUCHE.html,Málaga,ciudad,herbolario,+34951087970,https://wa.me/34951087970?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Herbolario Acebuche Sl. - Teléfono y dirección,2025-02-27 15:23:15,
https://www.herbora.es/donde-comprar/,Málaga,ciudad,herbolario,,,Mapa web Herbora,2025-02-27 15:23:20,
http://www.herboristeriaconchi.es/,Málaga,ciudad,herboristería,,,,,
https://puravidamalaga.com.es/contacto/,Málaga,ciudad,herboristería,,,puravidamalaga.com.es,2025-02-27 15:24:09,
http://www.especiaselreloj.es/,Málaga,ciudad,herboristería,,,Home - Especias el Reloj,2025-02-27 15:24:29,
https://www.panaderiazapelia.es/puntos-de-ventas-en-malaga-capital/,Málaga,ciudad,herboristería,+34952309217,https://wa.me/34952309217?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Puntos de Ventas en Málaga Capital,2025-02-27 15:24:34,info@soynatural.org
http://doemi.es/,Marbella,ciudad,herbolario,,,,,
http://www.laventananatural.es/,Marbella,ciudad,herbolario,,,,,
https://www.panaderiazapelia.es/puntos-de-venta-en-marbella/,Marbella,ciudad,herboristería,+34952764512,https://wa.me/34952764512?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Puntos de Venta en Marbella,2025-02-27 15:26:15,herborist.arbolvida@hotmail.com
http://cebanatural.es/,Marbella,ciudad,herboristería,,,Herboristería Online - Ceba Natural,2025-02-27 15:26:35,maria@gmail.com
https://www.herbolarionavarro.es/tiendas/herbolario-navarro-barcelona,Cataluña,comunidad,herbolario,,,www.herbolarionavarro.es,2025-02-27 15:26:47,
http://www.casapia.es/,Cataluña,comunidad,herbolario,,,,,
https://www.herbolarioshospitalet.es/,Cataluña,comunidad,herbolario,+34933314744,https://wa.me/34933314744?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Herbolarios y dietética en,2025-02-27 15:26:58,
http://www.santiveri.es/,Cataluña,comunidad,herbolario,,,,,
https://farmaciacoliseum.es/,Cataluña,comunidad,herboristería,,,farmaciacoliseum.es,2025-02-27 15:27:21,
https://veritas.es/tiendas-veritas/,Badalona,ciudad,herbolario,,,veritas.es,2025-02-27 15:28:45,
https://www.naturitas.es/,Badalona,ciudad,herbolario,,,,,
https://namasteinfusiones.es/producto/mezcla-de-herboristeria-tisana-relajante/,Badalona,ciudad,herboristería,,,,,
http://www.drogueriaboter.es/shop,Badalona,ciudad,herboristería,+34933845464,https://wa.me/34933845464?text=Hola%2C%20me%20gustar%C3%ADa%20obtener%20informaci%C3%B3n%20sobre%20productos%20CBD,Tienda,2025-02-27 15:29:10,boter@drogueriaboter.es
https://namasteinfusiones.es/tienda-namaste-online/,Badalona,ciudad,herboristería,,,,,
